3698	5	0	0
2441	5	23	2
2041	5	37	2
963	5	1	1
326	5	5	1
677	5	0	0
2977	5	11	2
360	5	18	2
2978	5	13	2
2042	5	14	1
1533	5	1	1
1331	5	6	1
1061	5	4	1
1534	5	0	0
1332	5	8	2
778	5	1	1
2043	5	0	0
1535	5	2	1
1766	5	4	1
2044	5	1	1
2045	5	1	1
604	5	16	2
1767	5	3	1
678	5	9	2
1333	5	8	2
779	5	0	0
867	5	17	2
2442	5	4	2
780	5	2	1
605	5	2	1
550	5	15	1
1536	5	3	1
868	5	12	1
2046	5	1	1
1537	5	7	2
1184	5	10	2
1768	5	3	1
361	5	10	1
1334	5	3	1
1185	5	14	2
4724	5	7	1
1538	5	9	2
6131	5	1	1
869	5	6	2
2443	5	2	1
964	5	3	1
429	5	2	1
2444	5	0	0
1062	5	10	2
2445	5	2	1
679	5	1	1
781	5	1	1
965	5	0	0
1335	5	22	2
3699	5	12	2
966	5	5	1
1186	5	2	1
1539	5	2	1
1540	5	5	1
1187	5	5	1
870	5	1	1
782	5	1	1
1769	5	12	1
680	5	2	1
2047	5	5	1
2048	5	6	2
2446	5	4	1
2979	5	11	2
1188	5	2	1
871	5	0	0
1770	5	5	1
872	5	2	1
327	5	9	1
2049	5	0	0
1771	5	19	2
2050	5	5	2
1541	5	6	1
1336	5	2	1
2051	5	11	2
873	5	1	1
1772	5	3	1
1337	5	30	3
6132	5	10	2
1542	5	10	1
874	5	6	1
681	5	4	1
1543	5	2	1
1189	5	1	1
1338	5	20	3
1190	5	4	2
1773	5	1	1
2980	5	4	1
1544	5	10	2
1545	5	8	1
1546	5	4	1
328	5	15	2
1191	5	2	1
783	5	7	1
1063	5	2	1
2447	5	1	1
1192	5	8	2
1339	5	0	0
1774	5	3	1
2448	5	6	2
1547	5	7	1
1193	5	1	1
2981	5	6	2
2449	5	15	2
2450	5	2	1
967	5	56	3
2052	5	2	1
1548	5	1	1
1775	5	18	3
1549	5	8	2
784	5	1	1
1776	5	21	3
1550	5	1	1
551	5	0	0
875	5	1	1
1340	5	12	1
469	5	5	2
785	5	7	1
2451	5	14	2
3700	5	15	3
2053	5	1	1
2452	5	6	1
786	5	5	1
1064	5	6	2
1551	5	4	1
1194	5	1	1
3701	5	3	1
130	5	27	3
2982	5	4	1
552	5	6	1
1341	5	1	1
2983	5	2	1
2054	5	9	2
3702	5	6	2
4725	4	7	1
1342	4	5	2
3703	4	7	1
